"Submission Date",Cinsiyet,"Yan haklarınız","Şirketiniz hangi lokasyon merkezli?","Şirketiniz hangi şehirde? (Eğer Türkiye ise)","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Hangi pozisyonda çalışıyorsunuz?","Seviyeniz nedir?",Deneyim,"Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?","Kazancınız hangi para biriminde?","Maaş tipi","Ara zam / iyileştirme aldıysanız oranı hangi aralıkta?","Maaş / Aylık Türk Lirası cinsinden"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Personel servisi
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Emeklilik planlama hizmetleri",Türkiye,"34 İstanbul",Hybrid,601-1.000,"Business Analyst",Junior,"0-1 Yıl","Microsoft Office Araçları
SQL","Türk Lirası",Net,%36-%50,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Eğitim ödemeleri
Hayat sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"iOS Developer",Senior,"9-12 Yıl","Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Swift","Türk Lirası",Net,%36-%50,"100.001 TL - 130.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Eğitim ödemeleri
Tamamlayıcı sağlık sigortası
Belirli günlerde izin(doğum günü, regl izni gibi)
Hayat sigortası",Türkiye,"34 İstanbul",Remote,"10.000 ve üzeri","Backend Developer / Engineer",Mid,"3-5 Yıl","Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Python","Türk Lirası",Net,%21-%35,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Şirket telefonu
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,51-150,"Data Scientist",Senior,"3-5 Yıl","Python
SQL","Türk Lirası",Net,%11-%20,"37.001 TL - 45.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Yol / yakıt yardımı
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Ofiste,1-50,"Fullstack Developer / Engineer",Mid,"3-5 Yıl","ChatGPT
Golang","Türk Lirası",Net,%21-%35,"25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı
Personel servisi
Tamamlayıcı sağlık sigortası",Türkiye,"34 İstanbul",Remote,1.000-5.000,"Backend Developer / Engineer",Mid,"5-9 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,%21-%35,"55.001 TL - 70.000 TL"
"Ağu 5, 2023",Erkek,"Yemek kartı",Türkiye,,Remote,1-50,"Backend Developer / Engineer",Mid,"1-3 Yıl",Python,"Türk Lirası",Net,"%51 ve üzeri","25.001 TL - 30.000 TL"
"Ağu 5, 2023",Erkek,"Tıbbi izin",Türkiye,"34 İstanbul",Ofiste,51-150,"Fullstack Developer / Engineer",Senior,"12 Yıl ve üzeri","C# / .NET Framework
ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Linux
Microsoft Office Araçları
PHP
Python
SQL","Türk Lirası",Brüt,,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Kadın,"Yemek kartı
Tamamlayıcı sağlık sigortası",Türkiye,"06 Ankara",Ofiste,1-50,"Frontend Developer / Engineer",Junior,"1-3 Yıl","Javascript / Typescript ve bağlı framework'ler","Türk Lirası",Net,%21-%35,"30.001 TL - 37.000 TL"
"Ağu 5, 2023",Erkek,"Yol / yakıt yardımı",Türkiye,"34 İstanbul",Ofiste,51-150,"Fullstack Developer / Engineer",Junior,"1-3 Yıl","C# / .NET Framework
SQL","Türk Lirası",Net,%36-%50,"20.001 TL - 25.000 TL"
